Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-01-01,2024-01-05,110,italyan ceviz,madra,1.0,,,1.0
2024-01-01,2024-01-05,120,italyan ceviz,baklava,,,,
2024-01-01,2024-01-05,130,italyan ceviz,karışık çizgi,4.0,,,1.0
2024-01-01,2024-01-05,160,italyan ceviz,iki göbek,47.0,5.0,12.0,
2024-01-01,2024-01-05,200,koyu ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,220,koyu ceviz,baklava,,,,
2024-01-01,2024-01-05,230,koyu ceviz,karışık çizgi,10.0,,4.0,
2024-01-01,2024-01-05,260,koyu ceviz,iki göbek,2.0,,,
2024-01-01,2024-01-05,300,gold ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,310,gold ceviz,madra,,,,
2024-01-01,2024-01-05,320,gold ceviz,baklava,1.0,,,
2024-01-01,2024-01-05,330,gold ceviz,karışık çizgi,9.0,1.0,1.0,
2024-01-01,2024-01-05,360,gold ceviz,iki göbek,,,,
2024-01-01,2024-01-05,400,ABD ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,410,ABD ceviz,madra,,,,
2024-01-01,2024-01-05,420,ABD ceviz,baklava,,,,
2024-01-01,2024-01-05,430,ABD ceviz,karışık çizgi,,,,
2024-01-01,2024-01-05,460,ABD ceviz,iki göbek,8.0,,,
2024-01-01,2024-01-05,500,wenge,yavru kanat,,,,
2024-01-01,2024-01-05,520,wenge,baklava,9.0,1.0,3.0,
2024-01-01,2024-01-05,530,wenge,karışık çizgi,3.0,1.0,2.0,
2024-01-01,2024-01-05,560,wenge,iki göbek,8.0,,1.0,
2024-01-01,2024-01-05,600,bute beyaz,yavru kanat,,,,
2024-01-01,2024-01-05,610,bute beyaz,madra,5.0,,,
2024-01-01,2024-01-05,620,bute beyaz,baklava,,,1.0,
2024-01-01,2024-01-05,630,bute beyaz,karışık çizgi,20.0,1.0,5.0,
2024-01-01,2024-01-05,640,,,1.0,,,
2024-01-01,2024-01-05,660,bute beyaz,iki göbek,88.0,6.0,24.0,7.0
2024-01-01,2024-01-05,700,küp akça,yavru kanat,,,,
2024-01-01,2024-01-05,720,küp akça,baklava,3.0,,,
