Depoya Giriş Tarihi,Varma Süresi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-01-06,41,220,koyu ceviz,baklava,30.0,,,
2024-01-06,41,230,koyu ceviz,karışık çizgi,20.0,,,
2024-01-06,41,320,gold ceviz,baklava,50.0,,,
2024-01-06,41,330,gold ceviz,karışık çizgi,26.0,,,
2024-01-06,41,420,ABD ceviz,baklava,29.0,,,
2024-01-06,41,530,wenge,karışık çizgi,30.0,,20.0,
2024-01-06,41,560,wenge,iki göbek,106.0,,20.0,15.0
2024-01-06,41,610,bute beyaz,madra,,,60.0,25.0
2024-01-06,41,120,italyan ceviz,baklava,50.0,,20.0,
2024-01-06,41,130,italyan ceviz,karışık çizgi,90.0,,,
2024-01-06,41,160,italyan ceviz,iki göbek,100.0,30.0,,20.0
2024-01-06,41,260,koyu ceviz,iki göbek,100.0,,,
2024-01-06,41,230,koyu ceviz,karışık çizgi,20.0,,20.0,
2024-01-06,41,500,wenge,yavru kanat,,,,
2024-01-06,41,600,bute beyaz,yavru kanat,,,,
2024-01-06,41,100,italyan ceviz,yavru kanat,,,,
2024-01-06,41,800,ardahan gri,yavru kanat,,,,
2024-01-06,41,200,koyu ceviz,yavru kanat,,,,
2024-01-06,41,900,pvc gri,yavru kanat,,,,
2024-01-06,41,400,ABD ceviz,yavru kanat,,,,
2024-01-06,41,640,,,17.0,,,
2024-01-06,41,660,,baklava,30.0,,,35.0
2024-01-06,41,860,,baklava,7.0,,,
2024-01-06,41,410,,baklava,,,,15.0
2024-01-06,41,620,bute beyaz,baklava,96.0,24.0,49.0,43.0
2024-01-06,41,630,bute beyaz,karışık çizgi,235.0,,,
2024-01-06,69,140,,,26.0,,,
2024-01-06,69,240,,,51.0,,,
2024-01-06,69,340,,,26.0,,,5.0
2024-01-06,69,440,,,25.0,,,
2024-01-06,69,540,,,25.0,,6.0,
2024-01-06,69,640,,,9.0,,,
2024-01-06,69,740,,,26.0,,,
2024-01-06,69,840,,,26.0,,,5.0
2024-01-06,69,660,,baklava,100.0,24.0,80.0,25.0
2024-01-09,44,630,bute beyaz,karışık çizgi,,24.0,,
2024-01-09,44,660,bute beyaz,iki göbek,185.0,101.0,157.0,
2024-01-09,44,730,,iki göbek,21.0,,,
2024-01-09,44,660,bute beyaz,iki göbek,276.0,,,38.0
2024-01-09,44,730,küp akça,karışık çizgi,60.0,,26.0,
2024-01-09,44,720,küp akça,baklava,,,,22.0
2024-01-09,44,730,küp akça,karışık çizgi,179.0,,100.0,48.0
2024-01-09,44,760,küp akça,iki göbek,85.0,,,
2024-01-09,44,660,,baklava,16.0,,,
2024-01-24,59,760,küp akça,iki göbek,20.0,,,37.0
2024-01-24,59,830,ardahan gri,karışık çizgi,150.0,,51.0,
2024-01-24,59,860,ardahan gri,iki göbek,67.0,26.0,51.0,51.0
2024-02-04,70,960,pvc gri,iki göbek,170.0,,,
2024-02-04,70,660,bute beyaz,iki göbek,240.0,,,
2024-02-04,70,630,bute beyaz,karışık çizgi,42.0,,,
2024-02-20,44,760,küp akça,iki göbek,191.0,50.0,52.0,
2024-02-20,44,700,,yavru kanat,,,,
2024-02-20,44,720,küp akça,baklava,100.0,,,
2024-02-20,44,820,ardahan gri,baklava,,,30.0,
2024-02-20,44,860,ardahan gri,iki göbek,208.0,,,
2024-02-20,44,830,ardahan gri,karışık çizgi,148.0,,50.0,20.0
2024-02-20,44,820,ardahan gri,baklava,,,,21.0
2024-02-20,44,630,,iki göbek,8.0,,,
2024-02-20,44,200,,yavru kanat,,,,
2024-02-20,44,810,ardahan gri,madra,,,,29.0
2024-02-20,44,110,italyan ceviz,madra,,,30.0,30.0
2024-02-20,44,120,italyan ceviz,baklava,51.0,,,
2024-02-20,44,130,italyan ceviz,karışık çizgi,,10.0,,
