tarih ,100cm,100cm cam,90cm,90cm cam
1/1/2024,7,15,2,-1
1/5/2024,7,15,1,-1
1/12/2024,92,39,47,42
1/19/2024,92,39,47,42
1/26/2024,73,39,38,41
2/2/2024,71,38,36,40
2/9/2024,68,38,36,40
2/16/2024,64,38,35,40
2/23/2024,60,38,35,40
3/1/2024,60,38,35,40
3/8/2024,60,38,35,40
3/15/2024,60,38,35,40
3/22/2024,57,38,35,39
3/29/2024,57,38,35,39
4/5/2024,57,38,35,39
4/12/2024,57,38,35,39
4/19/2024,102,40,31,55
4/26/2024,90,37,29,54
5/3/2024,89,37,29,53
5/10/2024,102,37,26,53
5/17/2024,97,37,23,51
5/24/2024,90,36,21,50
5/31/2024,67,35,21,43
6/7/2024,60,34,21,43
6/14/2024,55,34,20,43
6/21/2024,55,34,20,43
6/28/2024,55,34,20,43
7/5/2024,31,34,11,40
7/12/2024,22,33,11,40
7/19/2024,13,33,7,39
7/26/2024,6,33,6,38
8/2/2024,22,32,6,34
8/9/2024,20,32,6,34
8/16/2024,8,32,6,34
8/23/2024,7,32,4,32
8/30/2024,7,32,4,32
9/6/2024,7,32,4,32
9/13/2024,7,32,4,32
9/20/2024,52,29,31,32
